date,value
02/28/1989,$464.66
02/28/1990,$577.87
02/28/1991,$802.21
02/28/1993,$972.00
02/28/1994,$871.84
02/28/1995,"$1,124.70"
02/28/1997,"$2,423.60"
02/28/1998,"$2,224.00"
02/28/1999,"$2,176.80"
02/28/2001,"$2,170.10"
02/28/2002,"$2,260.30"
02/28/2003,"$2,400.90"
02/28/2005,"$3,308.20"
02/28/2006,"$3,612.80"
02/28/2007,"$3,926.90"
02/28/2009,"$4,440.80"
02/28/2010,"$4,733.00"
02/28/2011,"$5,079.00"
02/28/2013,"$6,187.00"
02/28/2014,"$6,972.00"
02/28/2015,"$7,460.00"
02/28/2017,"$8,432.00"
02/28/2018,"$8,984.00"
02/28/2019,"$9,611.00"
02/29/1988,$331.79
02/29/1992,$867.02
02/29/1996,"$1,491.60"
02/29/2000,"$2,161.60"
02/29/2004,"$2,904.00"
02/29/2008,"$4,544.40"
02/29/2012,"$5,656.00"
02/29/2016,"$8,032.00"
05/31/1988,$354.42
05/31/1989,$413.42
05/31/1990,$609.02
05/31/1991,$718.97
05/31/1992,$847.61
05/31/1993,$983.28
05/31/1994,"$1,004.20"
05/31/1995,"$1,412.00"
05/31/1996,"$1,852.10"
05/31/1997,"$2,373.90"
05/31/1998,"$2,307.80"
05/31/1999,"$2,182.30"
05/31/2000,"$2,272.70"
05/31/2001,"$2,483.30"
05/31/2002,"$2,682.20"
05/31/2003,"$2,985.10"
05/31/2004,"$3,487.10"
05/31/2005,"$3,721.40"
05/31/2006,"$4,005.40"
05/31/2007,"$4,383.20"
05/31/2008,"$5,088.00"
05/31/2009,"$4,712.90"
05/31/2010,"$5,077.00"
05/31/2011,"$5,021.00"
05/31/2012,"$6,048.00"
05/31/2013,"$6,697.00"
05/31/2014,"$7,425.00"
05/31/2015,"$7,779.00"
05/31/2016,"$8,244.00"
05/31/2017,"$8,677.00"
05/31/2018,"$9,789.00"
05/31/2019,"$10,184.00"
08/31/1987,$282.83
08/31/1988,$510.69
08/31/1989,$602.65
08/31/1990,$833.61
08/31/1991,$947.16
08/31/1992,"$1,099.90"
08/31/1993,"$1,107.90"
08/31/1994,"$1,170.40"
08/31/1995,"$1,700.00"
08/31/1996,"$2,281.90"
08/31/1997,"$2,766.10"
08/31/1998,"$2,504.80"
08/31/1999,"$2,501.10"
08/31/2000,"$2,636.70"
08/31/2001,"$2,613.70"
08/31/2002,"$2,796.30"
08/31/2003,"$3,024.90"
08/31/2004,"$3,561.80"
08/31/2005,"$3,862.00"
08/31/2006,"$4,194.10"
08/31/2007,"$4,655.10"
08/31/2008,"$5,432.20"
08/31/2009,"$4,799.00"
08/31/2010,"$5,175.00"
08/31/2011,"$6,081.00"
08/31/2012,"$6,474.00"
08/31/2013,"$6,971.00"
08/31/2014,"$7,982.00"
08/31/2015,"$8,414.00"
08/31/2016,"$9,061.00"
08/31/2017,"$9,070.00"
08/31/2018,"$9,948.00"
08/31/2019,"$10,660.00"
11/30/1987,$234.41
11/30/1988,$322.03
11/30/1989,$445.70
11/30/1990,$648.83
11/30/1991,$743.42
11/30/1992,$875.84
11/30/1993,$805.79
11/30/1994,"$1,053.70"
11/30/1995,"$1,443.00"
11/30/1996,"$2,107.00"
11/30/1997,"$2,255.30"
11/30/1998,"$1,913.00"
11/30/1999,"$2,059.70"
11/30/2000,"$2,198.70"
11/30/2001,"$2,336.80"
11/30/2002,"$2,514.70"
11/30/2003,"$2,837.10"
11/30/2004,"$3,148.30"
11/30/2005,"$3,474.70"
11/30/2006,"$3,821.70"
11/30/2007,"$4,339.50"
11/30/2008,"$4,590.10"
11/30/2009,"$4,405.00"
11/30/2010,"$4,842.00"
11/30/2011,"$5,546.00"
11/30/2012,"$5,955.00"
11/30/2013,"$6,431.00"
11/30/2014,"$7,380.00"
11/30/2015,"$7,686.00"
11/30/2016,"$8,180.00"
11/30/2017,"$8,554.00"
11/30/2018,"$9,374.00"